reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22101152066 | 101 | 100408P,101407 | MOOCs / SWAYAM / NPTEL Courses - 1,Mechanical Engineering | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101152066 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101152066&semester=IV&exam_held=December%2F2025
22101156005 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101156005 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101156005&semester=IV&exam_held=December%2F2025
22101157030 | 101 | 101405 | Introduction to Solid Mechanics | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101157030 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101157030&semester=IV&exam_held=December%2F2025
22101165019 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101165019 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101165019&semester=IV&exam_held=December%2F2025
22101165036 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101165036 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101165036&semester=IV&exam_held=December%2F2025
22101165037 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101165037 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101165037&semester=IV&exam_held=December%2F2025
22102102002 | 102 | 100408P,102401,102403 | MOOCs / SWAYAM / NPTEL Courses - 1,Applied Thermodynamics,Fluid Mechanics | External exam marked AB in current carry result,External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102102002 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102102002&semester=IV&exam_held=December%2F2025
22102107018 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102107018 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102107018&semester=IV&exam_held=December%2F2025
22102108040 | 102 | 102405 | Strength of Materials | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102108040 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102108040&semester=IV&exam_held=December%2F2025
22102108041 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102108041 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102108041&semester=IV&exam_held=December%2F2025
22102111906 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102111906 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102111906&semester=IV&exam_held=December%2F2025
22102113005 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102113005 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102113005&semester=IV&exam_held=December%2F2025
