reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
22101146032 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | B | A | 8 | 9 | 2.00 | 56^ | 24 | 80 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146032 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146032&semester=IV&exam_held=December%2F2025
22101146033 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | C | B | 7 | 8 | 2.00 | 45^ | 26 | 71 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146033 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146033&semester=IV&exam_held=December%2F2025
22101146033 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 32^ | 20 | 52 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146033 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146033&semester=IV&exam_held=December%2F2025
22101146040 | IV | 101 | 101403 | Engineering Geology | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 47^ | 19 | 66 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146040 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146040&semester=IV&exam_held=December%2F2025
22101146040 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 42^ | 22 | 64 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146040 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146040&semester=IV&exam_held=December%2F2025
22101146040 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 44^ | 22 | 66 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146040 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146040&semester=IV&exam_held=December%2F2025
22101146041 | IV | 101 | 101402 | Disaster Preparedness & Planning | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 39^ | 22 | 61 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146041 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146041&semester=IV&exam_held=December%2F2025
22101146043 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 39^ | 19 | 58 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146043 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146043&semester=IV&exam_held=December%2F2025
22101146046 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 35^ | 24 | 59 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146046 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146046&semester=IV&exam_held=December%2F2025
22101146046 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 50^ | 18 | 68 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146046 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146046&semester=IV&exam_held=December%2F2025
22101146046 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 39^ | 11 | 50 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146046 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146046&semester=IV&exam_held=December%2F2025
22101146048 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 42^ | 27 | 69 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146048 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146048&semester=IV&exam_held=December%2F2025
22101146049 | IV | 101 | 101407 | Mechanical Engineering | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 39^ | 17 | 56 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146049 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146049&semester=IV&exam_held=December%2F2025
22101146050 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 39^ | 24 | 63 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146050 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146050&semester=IV&exam_held=December%2F2025
22101146051 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 37^ | 26 | 63 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146051 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146051&semester=IV&exam_held=December%2F2025
22101146051 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 39^ | 19 | 58 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101146051 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101146051&semester=IV&exam_held=December%2F2025
22101147004 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 25^ | 28 | 53 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147004 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147004&semester=IV&exam_held=December%2F2025
22101147020 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 33^ | 24 | 57 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147020 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147020&semester=IV&exam_held=December%2F2025
22101147026 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 32^ | 23 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147026 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147026&semester=IV&exam_held=December%2F2025
22101147026 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 32^ | 23 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101147026 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101147026&semester=IV&exam_held=December%2F2025
