reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22119127013 | 119 | 119401 | Mechanical Engineering | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22119127013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22119127013&exam_held=December%2F2025
22151144016 | 151 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22151144016 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22151144016&exam_held=December%2F2025
22151158007 | 151 | 105401 | Computer Organization & Architecture | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22151158007 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22151158007&exam_held=December%2F2025
22151158034 | 151 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22151158034 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22151158034&exam_held=December%2F2025
22151158037 | 151 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22151158037 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22151158037&exam_held=December%2F2025
22151158047 | 151 | 100407,105402 | Human Resource Development and Organizational Behavior,Design & Analysis of Algorithms | Unexpected pattern: expected P, published F,Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22151158047 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22151158047&exam_held=December%2F2025
22152146050 | 152 | 105401 | Computer Organization & Architecture | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22152146050 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22152146050&exam_held=December%2F2025
22153153053 | 153 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22153153053 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22153153053&exam_held=December%2F2025
22154149005 | 154 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22154149005 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22154149005&exam_held=December%2F2025
22154149044 | 154 | 105401 | Computer Organization & Architecture | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22154149044 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22154149044&exam_held=December%2F2025
22155151026 | 155 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22155151026 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22155151026&exam_held=December%2F2025
22156148052 | 156 | 100407 | Human Resource Development and Organizational Behavior | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22156148052 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22156148052&exam_held=December%2F2025
22157147008 | 157 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22157147008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22157147008&exam_held=December%2F2025
