sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100311 | 2.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100313 | 3.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100313P | 2.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100314 | 3.00 | 24 | MATCH | 22157127020
III | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100399P | 4.00 | 24 | MATCH | 22157127020
II | 101 | Civil Engineering | 100203 | 4.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100203P | 1.50 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100204 | 3.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100204P | 2.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100205 | 1.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100205P | 2.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100206 | 2.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 100206P | 1.00 | 20.5 | MATCH | 22101127003
II | 101 | Civil Engineering | 101202 | 4.00 | 20.5 | MATCH | 22101127003
II | 102 | Mechanical Engineering | 100203 | 4.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100203P | 1.50 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100204 | 3.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100204P | 2.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100205 | 1.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100205P | 2.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100206 | 2.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 100206P | 1.00 | 20.5 | MATCH | 22102102001
II | 102 | Mechanical Engineering | 102202 | 4.00 | 20.5 | MATCH | 22102102001
II | 103 | Electrical Engineering | 100201 | 4.00 | 17.5 | MATCH | 22103106006
II | 103 | Electrical Engineering | 100201P | 1.00 | 17.5 | MATCH | 22103106006
II | 103 | Electrical Engineering | 100202 | 1.00 | 17.5 | MATCH | 22103106006
II | 103 | Electrical Engineering | 100202P | 2.00 | 17.5 | MATCH | 22103106006
II | 103 | Electrical Engineering | 103201 | 4.00 | 17.5 | MATCH | 22103106006
II | 103 | Electrical Engineering | 103201P | 1.50 | 17.5 | MATCH | 22103106006
II | 103 | Electrical Engineering | 103202 | 4.00 | 17.5 | MATCH | 22103106006
II | 104 | Electronics & Communication Engineering | 100201 | 4.00 | 17.5 | MATCH | 22104134040
II | 104 | Electronics & Communication Engineering | 100201P | 1.00 | 17.5 | MATCH | 22104134040
II | 104 | Electronics & Communication Engineering | 100202 | 1.00 | 17.5 | MATCH | 22104134040
II | 104 | Electronics & Communication Engineering | 100202P | 2.00 | 17.5 | MATCH | 22104134040
II | 104 | Electronics & Communication Engineering | 103201 | 4.00 | 17.5 | MATCH | 22104134040
II | 104 | Electronics & Communication Engineering | 103201P | 1.50 | 17.5 | MATCH | 22104134040
II | 104 | Electronics & Communication Engineering | 103202 | 4.00 | 17.5 | MATCH | 22104134040
II | 105 | Computer Science & Engineering | 100201 | 4.00 | 17.5 | MATCH | 22105102005
II | 105 | Computer Science & Engineering | 100201P | 1.00 | 17.5 | MATCH | 22105102005
II | 105 | Computer Science & Engineering | 100202 | 1.00 | 17.5 | MATCH | 22105102005
II | 105 | Computer Science & Engineering | 100202P | 2.00 | 17.5 | MATCH | 22105102005
II | 105 | Computer Science & Engineering | 105201 | 4.00 | 17.5 | MATCH | 22105102005
II | 105 | Computer Science & Engineering | 105201P | 1.50 | 17.5 | MATCH | 22105102005
II | 105 | Computer Science & Engineering | 105202 | 4.00 | 17.5 | MATCH | 22105102005
II | 106 | Information Technology | 100203 | 4.00 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 100203P | 1.50 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 100204 | 3.00 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 100204P | 2.00 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 100205 | 1.00 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 100205P | 2.00 | 20.5 | MATCH | 22106107016
